collection_id,title,details,open_flag
1,ローラースケート,「ローラースケート」を一気に広めたのが光GENJIというのはご存じだろうか？ローラースケートを履きながら歌を歌うという斬新なパフォーマンスは日本中を釘付けにして一大ブームになった。光GENJIが解散して約16年、2011年にローラースケートパフォーマンスを受け継いで、Kis-My-Ft2が「Everybody Go」でデビュー。同曲のMVでもローラースケートを履いてパフォーマンスをしている。,0
2,ギャル文字,翻訳すると「このもんだいむずすぎ」。ギャル文字とは、携帯電話のメールなどで文字を分解・変形させて文字を表現する遊び・手法。またそれらの文字そのものの呼称。2002年から2003年頃に普及し始め、実業之日本社の石川正尚がギャル文字と名づけた。マスメディアが取り上げたことによって広く認知されるようになったが、2005年（平成17年）頃になると流行は途絶え、あまり話題にのぼらなくなった。,0
3,ミニディスク,「MD」は「ミニディスク」。ソニーが1992年にアナログコンパクトカセット（カセットテープ）の代替として発表した。録音用・再生用・ハイブリッドの3種類があるが、現在流通しているのは録音用のみ。一時期再生用で楽曲が発売された事もあったが売れなかった。ハイブリッドは使い道がない為か規格のみが存在する。なお、MDは海外では普及しておらず、事実上日本ローカルの規格となっている。,0
4,団子三兄弟,「だんご３兄弟」は1999年1月に発表。曲調は「だんご」だけに「タンゴ」。「おかあさんといっしょ」内での放映により子どもたちの間で人気が高まったことをきっかけに同年3月シングルCD化され、人気が爆発。300万枚近い売上を記録し、第41回日本レコード大賞特別賞を受賞、第50回NHK紅白歌合戦で歌われ、90年代シングル売上一位を記録するなど1999年を代表する一曲となった、日本国民であれば、10人の内9人は知っているくらい有名な曲。兄弟にはちゃんと名前が付いていて、上から順に、長男「串団子 一郎」次男「串団子 次郎」三男「串団子 三郎」となっている。彼らはこしあんの餡だんごになりたいそうだが、立派な醤油だんご。,0
5,くぅ～ちゃん,「くぅ〜ちゃん」は、ロングコート・チワワ種の雌の動物タレントである。日本ペットモデル協会所属。2002年8月末から神谷佳成企画のアイフルのテレビCMで、清水章吾との共演で話題になった。これまでに写真集、絵本、CDが発売されている。2006年4月、アイフルの不法取立てが社会問題化し、金融庁から全店舗の業務停止命令を受けたタイミングで、CMから降板した。,0
6,水戸黄門　第9部,国民的時代劇シリーズ「水戸黄門」第9部。このシリーズでは大和田伸也演じる二代目・格さんが誕生。さらに、久保田藩家老の娘・志乃役で、山口いづみがレギュラー入り。志乃は、今回の旅立ちの理由となる久保田藩のお家騒動解決後も一行と旅を続け、第10部で助さんと結婚する事になる。第9部は平均視聴率が37．3％、最高視聴率43．7％を記録。刺客軍団との凄絶な決闘と、輪島塗り、奉書紙、金沢の献上銘菓などにまつわる物語の絶妙なバランスが評判だった。,0
7,ガガーリン,「ガガーリン」はソ連の宇宙飛行士。 1961年4月 12日、ボストーク 1号で史上初めて宇宙飛行に成功。1時間 48分で地球を1周し，「地球は青かった」と宇宙から見た地球の感想を述べた。 27歳でソ連の国民的英雄となった。,0
8,昭和64年,1月7日に昭和天皇が崩御したため7日間しかありませんでした。年をまたいで続いたため、カレンダーやコイン（10円玉など）の製造年などにも昭和64年製造のものが見られます。ちなみに、一代の天皇に対して一つの元号が使われるという風になったのは明治時代以降になります。,0
9,カラーテレビ,1960年9月10日、日本で初めてカラーテレビの本放送が開始。このカラー放送に合わせて東芝から初めてのカラーテレビが発売されて、大きな話題を呼びました。その後も次々と各メーカーがカラーテレビを開発していきました。,0
10,美空ひばり,9歳でデビューをした美空ひばりさんはとてつもない歌唱力で天才少女歌手と謳われて以後、歌のみならず様々な分野で輝かしい功績を遺した。有名な曲の中には『川の流れの様に』等がある。,0
